Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,rsi,macd,ema,williams_r,roc,adx,shortName,sector,industry,marketCap,forwardPE,trailingPE,priceToBook,fiftyTwoWeekHigh,fiftyTwoWeekLow,dividendYield,returnOnEquity,earningsQuarterlyGrowth,grossMargins
2022-08-12 00:00:00-04:00,167.3707287952548,169.68682621240507,166.9567731335436,169.6178436279297,68039400,0.0,0.0,74.61620551760876,5.968270120531514,161.18970194802992,-0.3243498032673793,9.917136525635309,31.86001310239234,Apple Inc.,Technology,Consumer Electronics,3194468958208,25.737665,33.314644,47.837173,260.1,169.21,0.49,1.38015,0.048,0.46632
2022-08-15 00:00:00-04:00,169.04622635004895,170.88925112837984,168.87868001008405,170.692138671875,54091700,0.0,0.0,75.56128556809351,6.202157292075015,162.45669351120927,-0.9327743386902776,10.21963961517596,33.4098596723377,Apple Inc.,Technology,Consumer Electronics,3194468958208,25.737665,33.314644,47.837173,260.1,169.21,0.49,1.38015,0.048,0.46632
2022-08-16 00:00:00-04:00,170.28801428832625,171.20460883381332,169.1841727217911,170.53440856933594,56377100,0.0,0.0,75.11906602719641,6.302139913542447,163.53372218562615,-3.484684154238867,6.621353171367496,34.89215211976136,Apple Inc.,Technology,Consumer Electronics,3194468958208,25.737665,33.314644,47.837173,260.1,169.21,0.49,1.38015,0.048,0.46632
2022-08-17 00:00:00-04:00,170.27815992548992,173.60940030005358,170.0810475130616,172.03248596191406,79542000,0.0,0.0,76.52433922836205,6.428159367222122,164.66689068913124,-9.48353768628546,8.223919800237809,36.58455328884752,Apple Inc.,Technology,Consumer Electronics,3194468958208,25.737665,33.314644,47.837173,260.1,169.21,0.49,1.38015,0.048,0.46632
2022-08-18 00:00:00-04:00,171.24403503116682,172.3774427727219,170.6231165953559,171.6382598876953,62290100,0.0,0.0,75.31876746221698,6.422188946181933,165.59640658227312,-11.946355871132171,8.98811879192732,38.1560686601418,Apple Inc.,Technology,Consumer Electronics,3194468958208,25.737665,33.314644,47.837173,260.1,169.21,0.49,1.38015,0.048,0.46632
2022-08-19 00:00:00-04:00,170.53440436112984,171.23417071896347,168.83921054651765,169.0461883544922,70346300,0.0,0.0,67.75996534375861,6.137548990340093,166.05637748523566,-27.655946514666446,3.3878511323182323,38.74691166670287,Apple Inc.,Technology,Consumer Electronics,3194468958208,25.737665,33.314644,47.837173,260.1,169.21,0.49,1.38015,0.048,0.46632
2022-08-22 00:00:00-04:00,167.24261734201428,167.41016368127242,164.72939217570928,165.1531982421875,69026800,0.0,0.0,58.29719252668135,5.534044981900252,165.93595358616255,-54.91883870403934,1.2018578501875,37.624067218762114,Apple Inc.,Technology,Consumer Electronics,3194468958208,25.737665,33.314644,47.837173,260.1,169.21,0.49,1.38015,0.048,0.46632
2022-08-23 00:00:00-04:00,164.67022364972456,166.2767191348891,164.24641767665275,164.81805419921875,54147100,0.0,0.0,57.55205072286255,4.971413029046431,165.78690033457005,-67.83287489095612,1.1369569239504391,36.40721736880297,Apple Inc.,Technology,Consumer Electronics,3194468958208,25.737665,33.314644,47.837173,260.1,169.21,0.49,1.38015,0.048,0.46632
2022-08-24 00:00:00-04:00,164.90676099384123,165.68536025466128,163.85218632044496,165.1137237548828,53841500,0.0,0.0,58.061341266936026,4.497536414823145,165.6971434572784,-65.5515273307093,1.6133878957829415,35.1297547626635,Apple Inc.,Technology,Consumer Electronics,3194468958208,25.737665,33.314644,47.837173,260.1,169.21,0.49,1.38015,0.048,0.46632
2022-08-25 00:00:00-04:00,166.34568075789667,167.68606604641604,165.92188987692106,167.57765197753906,51218200,0.0,0.0,62.13812050725219,4.271564265716762,165.9478779266465,-47.442042586499134,3.0984541196314943,34.44169862802407,Apple Inc.,Technology,Consumer Electronics,3194468958208,25.737665,33.314644,47.837173,260.1,169.21,0.49,1.38015,0.048,0.46632
